annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2024-2025,10,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,24153,8137,483,7.9309131716,22508,2.1003043362,12650,2877,252,4.0856190162,11042,2.6773971603,11503,1189,0,12.159633598,11466,1.5445517666,5260,231
2024-2025,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,Total établissement,,199365,35684,10047,7.308816576,156616,3.1992920051,129255,12429,3031,4.8553923124,87817,4.0055135648,70110,7884,488,11.831956687,68799,2.1702078801,23255,7016
2024-2025,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,Total établissement,,192795,31897,9610,8.734723372,157058,3.7167457121,126723,11626,3488,5.9084715548,91467,4.8004243486,66072,11414,1620,14.155341925,65591,2.2055500628,20271,6122
2024-2025,10,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Total établissement,,61999,9248,5296,12.052487782,44445,3.2263127773,37250,2628,1892,7.6363475391,19875,5.3032500908,24749,7347,767,18.699270442,24570,1.5462505427,6620,3404
2024-2025,10,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,Total établissement,,64544,1,1550,5.0811233121,55070,1.8059714202,41282,0,575,4.2870562567,32376,2.3470254458,23262,363,7,6.4903175422,22694,1.0340861143,1,975
2024-2025,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,Total établissement,,140924,12675,6909,11.477701363,120268,2.5245462033,94699,3657,1919,5.9566611991,74502,3.021705081,46225,12808,6123,22.78839866,45766,1.7152263871,9018,4990
2024-2025,10,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,89314,17487,8315,12.78472318,65033,3.4345355691,52659,4499,3117,5.4640554954,28668,4.916919184,36655,13136,4407,23.301679656,36365,2.265912622,12988,5198
2024-2025,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,86968,17025,9321,12.106318365,72815,3.0919965361,56134,5233,3464,6.471691988,42103,3.9475413272,30834,10190,2924,22.364284151,30712,1.9191324329,11792,5857
2024-2025,10,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,75772,14418,3917,11.003781234,65230,2.5401301165,26654,1707,385,3.7601962078,17310,2.9217360229,49118,8117,2658,14.934529947,47920,2.4022837426,12711,3532
2024-2025,10,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,66125,10851,6536,10.694267948,55556,2.3242162063,42331,3024,2583,5.3327210621,31833,3.1345044189,23794,7339,1314,20.232791997,23723,1.2369209792,7827,3953
2024-2025,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,115359,19028,8435,10.65460301,86086,3.4211556144,80652,6216,3356,5.9785145095,51505,4.6271003355,34707,12361,2953,21.52088041,34581,1.6250195033,12812,5079
2024-2025,10,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,16140,4412,389,7.4026314884,15599,1.6158201559,10706,2189,348,3.6096990525,10167,1.8647232604,5434,945,52,14.875420347,5432,1.1499516241,2223,41
2024-2025,10,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,132709,18562,7263,9.5511779512,98984,4.2245284507,97832,8416,2958,5.5625353781,65307,4.085716526,34877,10119,3241,20.73955081,33677,4.4937148499,10146,4305
2024-2025,10,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,94059,11491,4972,6.3457381744,78815,3.2285270676,76420,6413,3627,5.1014176699,61385,3.5620126117,17639,2063,287,11.736688509,17430,2.0540571811,5078,1345
2024-2025,10,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,80488,9632,4483,6.6134951345,64928,3.2288678742,63579,5543,2677,4.7066511523,48427,3.4372341761,16909,2688,792,13.783359322,16501,2.6173561535,4089,1806
2024-2025,10,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,69366,11820,2726,5.067592076,61120,2.0714930965,55805,7364,1790,3.5886464624,47784,2.2394918627,13561,1509,219,11.153615228,13336,1.4695395088,4456,936
2024-2025,10,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,12759,1924,383,4.8723202358,10950,1.9187142314,10293,1252,192,3.3861806837,8519,2.0380738806,2466,263,58,11.075416103,2431,1.5004399196,672,191
2024-2025,10,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,193498,31476,8289,6.3397265232,167791,2.0303184021,150774,15744,4264,3.627766814,125135,2.3927295254,42724,8462,2265,15.910296067,42656,0.9671545816,15732,4025
2024-2025,10,13,Laval,CISSS DE LAVAL,Total établissement,,72780,14079,4774,10.803477795,56029,3.7701796094,45587,4271,1020,6.4820036901,28962,4.8479119958,27193,7138,760,18.048101043,27067,2.6169936126,9808,3754
2024-2025,10,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,122929,22536,7647,10.090000949,90428,3.5195333089,81070,7284,3953,5.7949583488,48767,4.4179230149,41859,12549,1657,18.40838179,41661,2.4679077888,15252,3694
2024-2025,10,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,161934,29031,10442,11.809600166,123566,3.8709183621,105406,10481,3322,6.304972909,67475,4.8264395085,56528,18276,5918,22.073907071,56091,2.7214685511,18550,7120
2024-2025,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,108045,20173,7808,11.465415046,69669,5.0339539465,74288,7716,2721,6.5596956328,36006,6.0951026835,33757,12268,3218,22.261282088,33663,3.8989475174,12457,5087
2024-2025,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,113412,23104,6455,10.834693198,85226,4.5767743021,62429,7934,2158,5.9326162076,34796,5.4230333388,50983,11879,2852,16.837316905,50430,3.9928673133,15170,4297
2024-2025,10,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,78993,14073,4891,12.421491261,63594,2.4299593952,50589,4249,2039,5.8902681468,35715,3.3661502403,28404,9779,4313,24.053939019,27879,1.230631728,9824,2852
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,11999,2304,671,4.8322300701,10226,1.5117833627,8048,779,375,2.6829123178,6297,1.7511061264,3951,86,0,9.2102886049,3929,1.1282212749,1525,296
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,4990,744,168,2.9326489646,4490,1.0663755877,4163,461,132,2.2143856594,3675,1.1706274376,827,14,0,6.5482839581,815,0.5962828903,283,36
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,4952,749,140,1.3976733867,4272,0.5585575323,4599,631,127,1.0463545819,3925,0.5673506723,353,0,0,5.9747702235,347,0.4590962216,118,13
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,8582,1337,282,3.7082133471,7988,1.087063964,4982,493,165,2.5446908314,4469,1.1962308869,3600,15,0,5.3183992284,3519,0.9484260049,844,117
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,11099,1982,562,4.0414996096,9932,1.7186393028,8251,956,315,3.1793606499,7131,1.9459693591,2848,53,0,6.5392203105,2801,1.1398850609,1026,247
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,7305,1256,232,3.3114085102,6726,0.8489586018,5501,651,113,1.7105312165,4934,0.9756851552,1804,35,0,8.1930193705,1792,0.5000362723,605,119
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,8943,1518,269,3.6589735609,8336,1.0785231726,6836,738,127,2.2814853147,6242,1.1590953754,2107,8,0,8.1281285925,2094,0.8383456702,780,142
2020-2021,10,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,20099,3676,1243,4.5294812207,16541,1.5379631589,13636,1351,786,3.0655362236,10109,1.7727063892,6463,70,0,7.6181945089,6432,1.1690235887,2325,457
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,18351,2775,813,4.1598489789,15355,1.809805239,13267,1331,319,2.7272240019,10343,1.9427579576,5084,119,11,7.8983689571,5012,1.5354377272,1444,494
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,33032,5124,2109,6.3375103856,29901,1.345209051,16931,1264,605,2.3310424993,13929,1.5725102903,16101,1452,74,10.550510061,15972,1.1469822189,3860,1504
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,11279,1902,443,4.4435476697,10315,1.4532975979,9051,1059,203,2.6933503051,8097,1.5677907455,2228,251,58,11.553528077,2218,1.035330503,843,240
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,9632,1403,324,4.4852498327,8853,1.7992142651,7284,636,177,2.9722925438,6522,2.0352483475,2348,66,1,9.1787681005,2331,1.1388048763,767,147
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,15112,2139,977,4.1583215877,13867,1.6000568296,10127,794,289,2.6484016052,8926,1.7866857122,4985,87,1,7.2257157027,4941,1.2629085992,1345,688
2020-2021,10,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16759,2849,757,6.0448235774,14185,2.478757412,10520,939,309,3.8099291033,8049,2.7875317845,6239,187,3,9.8132303521,6136,2.073717496,1910,448
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,47187,4575,4879,7.6510671195,41172,1.5037528201,26242,832,1332,4.0289371787,20271,2.0924623436,20945,2464,553,12.189235365,20901,0.9327882371,3743,3547
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,40572,6482,5469,10.5756052,36931,1.3639666992,22080,1846,1276,3.5961418705,18451,1.7903804521,18492,4755,1485,18.909292757,18480,0.938222102,4636,4193
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,20237,4214,653,7.5669339851,17391,1.5251713051,14160,1526,270,3.0732618291,11325,1.8307222222,6077,1596,377,18.037626387,6066,0.9547189252,2688,383
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,26917,5986,921,10.581433924,22988,1.7283309649,15170,1542,374,4.0821295686,11272,2.3031306679,11747,3530,669,18.974593631,11716,1.1753143849,4444,547
2020-2021,10,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,12143,2894,624,8.4328870314,11097,1.393340167,5654,688,234,3.3543260917,4664,1.5886601868,6489,851,31,12.857942287,6433,1.2517308755,2206,390
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,18537,1230,320,2.4352300055,14758,1.2537523904,16307,1027,255,2.1805063436,12549,1.3122205621,2230,0,0,4.2979110613,2209,0.9216034153,203,65
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,6938,1328,216,4.0712587281,5498,1.3098699527,5237,727,82,2.3501772643,3813,1.4919424046,1701,76,3,9.3700850807,1685,0.8978567425,601,134
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,8826,1263,251,2.8953615895,7495,1.1528652435,6994,667,154,1.9723095987,5684,1.3161232309,1832,26,0,6.4192838731,1811,0.6404641389,596,97
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,11269,1550,259,3.7002932578,9532,1.6848755945,8737,720,161,2.676907755,7029,1.9208726941,2532,58,0,7.2316199315,2503,1.0221414303,830,98
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,8938,995,171,2.8344515925,6554,1.1290162496,7812,606,137,2.12595423,5441,1.197070902,1126,36,2,7.7498880008,1113,0.7963249975,389,34
2020-2021,10,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,8347,1321,314,5.0152933522,6977,1.2284393563,6624,741,197,2.4546323973,5259,1.4101121886,1723,307,60,14.85964516,1718,0.6723174557,580,117
2020-2021,10,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,16980,5173,452,7.7058424126,16265,1.4432258257,8197,1568,256,3.6797963008,7490,1.8653341492,8783,643,0,11.463271535,8775,1.082930516,3605,196
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,12215,1744,331,4.5168315368,10907,2.2930333985,10045,891,211,3.4275911177,8744,2.5501518502,2170,76,3,9.5589605735,2163,1.2536234397,853,120
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,11128,1229,388,3.8372156822,9484,1.923369769,9210,599,251,2.4428564966,7581,2.0263504155,1918,159,18,10.532756923,1903,1.5131247446,630,137
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,6529,638,169,1.59746941,5942,0.805739276,6035,518,158,1.4634495535,5448,0.8330090553,494,0,0,3.2347362798,494,0.5049988754,120,11
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,7596,1161,429,4.0224076268,6519,1.8217447717,5677,609,222,2.7499770027,4623,1.9937026822,1919,49,0,7.7866539286,1896,1.4024613221,552,207
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,21343,4010,1611,5.7757066459,17730,1.7111391552,11822,913,346,3.0794713012,8280,2.2440734031,9521,308,2,9.123558158,9450,1.2441872428,3097,1265
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,25964,3773,1879,6.8147056715,22187,2.0725687089,15733,996,779,4.194574479,12081,2.5565209144,10231,812,36,10.843884056,10106,1.49403847,2777,1100
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,21950,3647,1287,4.8599795621,17954,1.5723622405,12371,1021,296,2.6689126227,8499,1.9560306114,9579,238,8,7.6896788113,9455,1.2274867795,2626,991
2020-2021,10,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,PAVILLON SAINTE-MARIE,51220168,37959,7946,2740,9.0542003653,31081,2.1491363516,20054,1661,755,3.9840491783,13293,3.0609427894,17905,3315,255,14.732882963,17788,1.4677419859,6285,1985
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832,9077,1259,372,6.5370157174,7879,3.0561568374,7018,629,225,4.7814760061,5828,3.3477112408,2059,268,23,12.520686282,2051,2.2276931307,630,147
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,8652,653,303,2.8742809948,7641,1.5847658465,6547,344,212,2.1581663782,5576,1.6502620357,2105,17,1,5.101550541,2065,1.4079102771,309,91
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,51219046,13690,2665,508,6.2712066797,11409,2.6050263681,9276,1023,221,3.7528491986,7114,2.7851251835,4414,519,46,11.563522945,4295,2.30672067,1642,287
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,51247583,9750,1201,365,3.7806081197,7875,2.1404047619,8410,751,256,2.9163444643,6544,2.2776903355,1340,80,4,9.2048300166,1331,1.4654259538,450,109
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,28216,4032,630,7.3771943814,25895,1.6972542962,14324,702,270,4.6119310249,12007,2.6260500819,13892,1108,62,10.228449227,13888,0.8942552323,3330,360
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,30999,5641,4283,9.2415174683,27421,1.7864434801,13842,1167,841,4.0257103983,10288,2.5138770088,17157,2717,581,13.449549261,17133,1.3496352069,4474,3442
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,17021,2587,541,8.1966128443,14867,2.2784704939,11882,883,264,4.0882372262,9756,2.563008519,5139,1257,399,17.695682526,5111,1.735337453,1704,277
2020-2021,10,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,24383,3759,1720,8.5959838594,20784,2.2515072224,16174,1222,670,4.2560440281,12603,2.7276285188,8209,2096,378,17.146865432,8181,1.5180325008,2537,1050
2020-2021,10,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,39948,5791,3090,12.634029516,34971,2.1596798856,23605,1632,1304,5.8030229,18700,2.8882658942,16343,6147,1389,22.500388885,16271,1.3223276415,4159,1786
2020-2021,10,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,36845,0,1131,4.1800083081,35429,1.0418488934,25154,0,548,3.3838972043,23839,1.1736981184,11691,24,0,5.8928967439,11590,0.7706535807,0,583
2020-2021,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,10085,1794,493,9.7597493527,9312,2.0426403207,5845,555,134,3.8233758673,5199,2.1704342181,4240,1013,282,17.943264216,4113,1.8811036146,1239,359
2020-2021,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,18900,3278,2419,12.603855482,17471,1.2073265856,5389,403,339,4.5298529412,4102,1.7101696327,13511,2585,718,15.824253653,13369,1.0530396398,2875,2080
2020-2021,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,29827,4505,873,13.171968193,25954,2.5838210124,17999,1125,417,6.171201147,14162,3.1521800711,11828,4237,1473,23.825232147,11792,1.901231037,3380,456
2020-2021,10,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,51223279,30215,3,1282,4.667207283,29739,0.9562595974,20745,0,471,3.5901092633,20289,1.0664980613,9470,126,5,7.0267002523,9450,0.7195793651,3,811
2020-2021,10,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,42010,8059,3664,13.618968658,34775,2.6491544452,22754,1704,915,5.1340960686,15664,3.6217282552,19256,7184,2273,23.645183392,19111,1.8520011744,6355,2749
2020-2021,10,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL SANTA CABRINI,51235919,23012,5679,1076,14.227787736,20692,2.6876111541,13493,1360,415,5.1802451065,11199,3.5789642676,9519,4065,1694,27.052505953,9493,1.6360717546,4319,661
2020-2021,10,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,51235307,3069,140,3056,15.848089769,2959,1.2159996808,1409,35,1402,3.6117439476,1299,1.3975269438,1660,727,286,26.234241131,1660,1.0739491299,105,1654
2020-2021,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,CENTRE HOSPITALIER DE ST. MARY,51248243,22963,4089,1919,8.6007396198,22299,1.4500657603,15019,1257,664,4.1226146696,14363,1.631855578,7944,1878,197,17.06712414,7936,1.1210527624,2832,1255
2020-2021,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE LASALLE,51224392,17296,2219,619,8.1912192286,15513,2.7716457344,12640,712,244,5.1299946159,10880,3.1866630923,4656,1233,57,16.501760273,4633,1.7970312612,1507,375
2020-2021,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DOUGLAS,51235190,4026,113,3869,12.670158553,3699,2.5868714517,1583,35,1448,3.8196181652,1259,2.3275339776,2443,650,86,18.405076864,2440,2.720685337,78,2421
2020-2021,10,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,24065,4847,1468,13.06176403,22682,1.8124843243,13927,1112,242,5.5401470365,12577,2.2546170037,10138,3555,1236,23.394527876,10105,1.2621921216,3735,1226
2020-2021,10,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL JUIF,51248250,48962,8993,2694,8.3811567247,46280,1.1714990217,19311,1033,324,3.2845700925,16885,1.286535518,29651,3293,581,11.700443914,29395,1.1054200544,7960,2370
2020-2021,10,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE VERDUN,51218097,24675,3633,2025,10.001257008,22326,1.3762970677,14417,971,608,3.4902312471,12383,1.7515598222,10258,3394,821,19.152110819,9943,0.9089452937,2662,1417
2020-2021,10,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL NOTRE-DAME,51236313,23994,3068,3758,12.616936526,21310,2.0188564315,13617,688,1370,4.9086356515,11124,2.623410344,10377,3725,1246,22.731992226,10186,1.358630855,2380,2388
2020-2021,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,12475976,35478,6406,1952,11.052616614,32276,1.6998313418,22078,1715,893,4.7328623894,18900,2.275075632,13400,4348,1496,21.465119133,13376,0.8870235455,4691,1059
2020-2021,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,51848752,2342,86,2339,17.827396575,2318,0.3270383952,938,29,935,3.4006340322,914,0.4732202772,1404,635,200,27.465789213,1404,0.2318744065,57,1404
2020-2021,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL FLEURY,51228492,20095,3018,1040,8.0451494291,16786,2.4973706594,14856,1154,513,4.345340547,11565,2.9332205649,5239,1542,131,18.536533425,5221,1.5319226308,1864,527
2020-2021,10,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL JEAN-TALON,51228500,23991,2923,2105,7.8235824545,20585,2.3051391925,17144,800,930,4.6915070708,13753,2.8791852485,6847,1474,110,15.665893011,6832,1.1495690216,2123,1175
